"datetime","date","creditor","contract_title","credit_agreement_total_volume","agreement_start_datetime","agreement_finish_datetime","ral_credit_transh_getting_deadline","limitdeadline","credit_line_type","payment_date","amount","amount_minus","payments_cumsum","date_merge","tranch_volume","transh_cumsum","dolg","limit_date","ral_limit_date","date_y","credit_limit","payment_correct_credit_limit","free_remaining"
"2023-02-16 00:00:00","2023-02-16","Банк 1","Договор № 2272","3000000000","2023-02-16 00:00:00","2028-02-18 00:00:00","2033-01-08 00:00:00","2033-02-08 00:00:00","Возобновляемая",NULL,"0","0","0","2023-02-16","245884621.8","245884621.8","245884621.8","2033-02-08","2033-01-08","2023-02-16","3000000000","0","2754115378.2"
"2023-02-17 00:00:00","2023-02-17","Банк 1","Договор № 2272","3000000000","2023-02-16 00:00:00","2028-02-18 00:00:00","2033-01-08 00:00:00","2033-02-08 00:00:00","Возобновляемая",NULL,"0","0","0","2023-02-17","143553253.77","389437875.57000005","389437875.57000005","2033-02-08","2033-01-08","2023-02-17","3000000000","0","2610562124.43"
"2023-02-18 00:00:00","2023-02-18","Банк 1","Договор № 2272","3000000000","2023-02-16 00:00:00","2028-02-18 00:00:00","2033-01-08 00:00:00","2033-02-08 00:00:00","Возобновляемая",NULL,"0","0","0","2023-02-18","0","389437875.57000005","389437875.57000005","2033-02-08","2033-01-08","2023-02-18","3000000000","0","2610562124.43"
"2023-02-19 00:00:00","2023-02-19","Банк 1","Договор № 2272","3000000000","2023-02-16 00:00:00","2028-02-18 00:00:00","2033-01-08 00:00:00","2033-02-08 00:00:00","Возобновляемая",NULL,"0","0","0","2023-02-19","0","389437875.57000005","389437875.57000005","2033-02-08","2033-01-08","2023-02-19","3000000000","0","2610562124.43"
"2023-02-20 00:00:00","2023-02-20","Банк 1","Договор № 2272","3000000000","2023-02-16 00:00:00","2028-02-18 00:00:00","2033-01-08 00:00:00","2033-02-08 00:00:00","Возобновляемая",NULL,"0","0","0","2023-02-20","142052216.87","531490092.44000006","531490092.44000006","2033-02-08","2033-01-08","2023-02-20","3000000000","0","2468509907.56"
"2023-02-21 00:00:00","2023-02-21","Банк 1","Договор № 2272","3000000000","2023-02-16 00:00:00","2028-02-18 00:00:00","2033-01-08 00:00:00","2033-02-08 00:00:00","Возобновляемая",NULL,"0","0","0","2023-02-21","133231036.1","664721128.5400001","664721128.5400001","2033-02-08","2033-01-08","2023-02-21","3000000000","0","2335278871.46"
"2023-02-22 00:00:00","2023-02-22","Банк 1","Договор № 2272","3000000000","2023-02-16 00:00:00","2028-02-18 00:00:00","2033-01-08 00:00:00","2033-02-08 00:00:00","Возобновляемая",NULL,"0","0","0","2023-02-22","268910227.11","933631355.6500001","933631355.6500001","2033-02-08","2033-01-08","2023-02-22","3000000000","0","2066368644.35"
"2023-02-23 00:00:00","2023-02-23","Банк 1","Договор № 2272","3000000000","2023-02-16 00:00:00","2028-02-18 00:00:00","2033-01-08 00:00:00","2033-02-08 00:00:00","Возобновляемая",NULL,"0","0","0","2023-02-23","0","933631355.6500001","933631355.6500001","2033-02-08","2033-01-08","2023-02-23","3000000000","0","2066368644.35"
"2023-02-24 00:00:00","2023-02-24","Банк 1","Договор № 2272","3000000000","2023-02-16 00:00:00","2028-02-18 00:00:00","2033-01-08 00:00:00","2033-02-08 00:00:00","Возобновляемая",NULL,"0","0","0","2023-02-24","0","933631355.6500001","933631355.6500001","2033-02-08","2033-01-08","2023-02-24","3000000000","0","2066368644.35"
"2023-02-25 00:00:00","2023-02-25","Банк 1","Договор № 2272","3000000000","2023-02-16 00:00:00","2028-02-18 00:00:00","2033-01-08 00:00:00","2033-02-08 00:00:00","Возобновляемая",NULL,"0","0","0","2023-02-25","0","933631355.6500001","933631355.6500001","2033-02-08","2033-01-08","2023-02-25","3000000000","0","2066368644.35"
"2023-02-26 00:00:00","2023-02-26","Банк 1","Договор № 2272","3000000000","2023-02-16 00:00:00","2028-02-18 00:00:00","2033-01-08 00:00:00","2033-02-08 00:00:00","Возобновляемая",NULL,"0","0","0","2023-02-26","0","933631355.6500001","933631355.6500001","2033-02-08","2033-01-08","2023-02-26","3000000000","0","2066368644.35"
"2023-02-27 00:00:00","2023-02-27","Банк 1","Договор № 2272","3000000000","2023-02-16 00:00:00","2028-02-18 00:00:00","2033-01-08 00:00:00","2033-02-08 00:00:00","Возобновляемая",NULL,"0","0","0","2023-02-27","144735285.4","1078366641.0500002","1078366641.0500002","2033-02-08","2033-01-08","2023-02-27","3000000000","0","1921633358.9499998"
"2023-02-28 00:00:00","2023-02-28","Банк 1","Договор № 2272","3000000000","2023-02-16 00:00:00","2028-02-18 00:00:00","2033-01-08 00:00:00","2033-02-08 00:00:00","Возобновляемая",NULL,"0","0","0","2023-02-28","166416117.16","1244782758.2100003","1244782758.2100003","2033-02-08","2033-01-08","2023-02-28","3000000000","0","1755217241.7899997"
