,credit_volume,credit_agreement_total_volume,credit_tranch_date,agreement_code,creditor,credit_contract,date,transh_id,contract_title,credit_amount,credit_annual_rate,amount,tranch_year,year,quarter,month_first_date
0,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2022-01-01,1,Кредитный договор № 00,257916417,12.308504063543378,696105,2022,2022,1,2022-01-01
1,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2022-02-01,1,Кредитный договор № 00,617369449,15.85598641361664,1133078,2022,2022,1,2022-02-01
2,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2022-03-01,1,Кредитный договор № 00,764760029,7.826080988151739,566326,2022,2022,1,2022-03-01
3,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2022-04-01,1,Кредитный договор № 00,494203902,10.456707886918156,1057760,2022,2022,2,2022-04-01
4,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2022-05-01,1,Кредитный договор № 00,576637106,17.56350902993809,85085,2022,2022,2,2022-05-01
5,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2022-06-01,1,Кредитный договор № 00,222667651,12.633764810205982,42346,2022,2022,2,2022-06-01
6,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2022-07-01,1,Кредитный договор № 00,349787143,13.422578844328957,641012,2022,2022,3,2022-07-01
7,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2022-08-01,1,Кредитный договор № 00,402742309,9.369539997207013,459858,2022,2022,3,2022-08-01
8,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2022-09-01,1,Кредитный договор № 00,231788853,11.638594698837137,1303489,2022,2022,3,2022-09-01
9,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2022-10-01,1,Кредитный договор № 00,824374197,10.01072141032916,1049739,2022,2022,4,2022-10-01
10,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2022-11-01,1,Кредитный договор № 00,394054337,7.601358145463803,824347,2022,2022,4,2022-11-01
11,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2022-12-01,1,Кредитный договор № 00,304013436,8.303026261979637,278872,2022,2022,4,2022-12-01
12,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2023-01-01,1,Кредитный договор № 00,669896833,7.034027083614683,812428,2022,2023,1,2023-01-01
13,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2023-02-01,1,Кредитный договор № 00,388499536,8.896948205440383,469008,2022,2023,1,2023-02-01
14,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2023-03-01,1,Кредитный договор № 00,739707897,13.762464608746173,487297,2022,2023,1,2023-03-01
15,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2023-04-01,1,Кредитный договор № 00,567868072,11.809410898058601,1668904,2022,2023,2,2023-04-01
16,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2023-05-01,1,Кредитный договор № 00,549735091,15.09270113146003,267403,2022,2023,2,2023-05-01
17,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2023-06-01,1,Кредитный договор № 00,66199138,14.378789033081251,1889868,2022,2023,2,2023-06-01
18,844988093.0,20000000000,2022-10-28 15:46:37,Кредиты,БАНК 1,Кредитный договор № 00,2023-07-01,1,Кредитный договор № 00,829391691,11.404837657672758,186304,2022,2023,3,2023-07-01
